Store,Saleable Quantity,State
"Roswell2725 N Main St Roswell, NM 88201-6512",45,NM
"Mankato1850 Adams St Mankato, MN 56001-4864",209,MN
"Owatonna301 Park Dr Owatonna, MN 55060-5639",97,MN
"Mason City3450 4th St SW Mason City, IA 50401-1572",45,IA
"Northfield2323 Highway 3 S Northfield, MN 55057-5172",151,MN
"Fort Dodge2910 1st Ave S Fort Dodge, IA 50501-2972",135,IA
"Hutchinson1370 Highway 15 S Hutchinson, MN 55350-3801",168,MN
"Waconia875 E Main St Waconia, MN 55387-1081",202,MN
"Shakopee1685 17th Ave E Shakopee, MN 55379-4407",0,MN
"Lakeville18275 Kenrick Ave Lakeville, MN 55044-7306",32,MN
"Chaska111 Pioneer Trl Chaska, MN 55318-1121",212,MN
"Savage14333 Hwy 13 Savage, MN 55378-2153",38,MN
"Burnsville810 County Road 42 W Burnsville, MN 55337-4426",22,MN
"Chanhassen851 W 78th St Chanhassen, MN 55317-9579",4,MN
"Apple Valley15150 Cedar Ave Apple Valley, MN 55124-7056",274,MN
"Apple Valley South15560 Pilot Knob Rd Apple Valley, MN 55124-7286",231,MN
"Eden Prairie8225 Flying Cloud Dr Eden Prairie, MN 55344-5315",0,MN
"Minnetonka4848 County Road 101 Minnetonka, MN 55345-2635",192,MN
"Eagan2000 Cliff Lake Rd Eagan, MN 55122-2400",120,MN
"Rochester3827 Marketplace Dr NW Rochester, MN 55901-3192",379,MN
"Rochester South4611 Maine Ave SE Rochester, MN 55904-6929",188,MN
"Garden City2401 E Kansas Ave Garden City, KS 67846-6962",75,KS
"Ames320 S Duff Ave Ames, IA 50010-6644",8,IA
"Urbandale11148 Plum Dr Urbandale, IA 50322-6328",245,IA
"West Des Moines1800 Valley West Dr West Des Moines, IA 50266-1104",184,IA
"West Des Moines SW5405 Mills Civic Pkwy West Des Moines, IA 50266-5303",220,IA
"Des Moines North5901 Douglas Ave Des Moines, IA 50322-3303",195,IA
"Amarillo8201 I-40 W Amarillo, TX 79121-1104",102,TX
"Papillion718 N Washington St Papillion, NE 68046-3910",155,NE
"Bellevue3808 Twin Creek Dr Bellevue, NE 68123-4163",82,NE
"Omaha Far SW12500 K Plaza Omaha, NE 68137-2207",194,NE
"Council Bluffs3804 Metro Dr Council Bluffs, IA 51501-7732",159,IA
"Salina2939 Market Pl Salina, KS 67401-8598",91,KS
"Hutchinson1529 E 17th Ave Hutchinson, KS 67501-1114",5,KS
"Manhattan800 Commons Pl Manhattan, KS 66503-3001",133,KS
"Wichita NW2727 N Maize Rd Wichita, KS 67205-7311",174,KS
"Wichita Far West7575 Maple St Wichita, KS 67209-2013",161,KS
"Wichita NE10800 E 21st St N Wichita, KS 67206-3542",222,KS
"Eau Claire3649 S Hastings Way Eau Claire, WI 54701-8182",4,WI
"Marshfield1708 N Central Ave Marshfield, WI 54449-1514",156,WI
"Wausau2707 Schofield Ave Schofield, WI 54476-2430",23,WI
"Hudson2401 Coulee Rd Hudson, WI 54016-2183",233,WI
"Stillwater2021 Market Dr Stillwater, MN 55082-7546",173,MN
"Woodbury East449 Commerce Dr Woodbury, MN 55125-4872",200,MN
"Oakdale7900 32nd St N Oakdale, MN 55128-4054",166,MN
"Red Wing151 Tyler Rd N Red Wing, MN 55066-1865",187,MN
"North St Paul2199 Hwy 36 E North Saint Paul, MN 55109-2215",194,MN
"Woodbury7200 Valley Creek Plz Woodbury, MN 55125-2265",0,MN
"Cottage Grove8655 E Point Douglas Rd S Cottage Grove, MN 55016-4035",96,MN
"Winona860 Mankato Ave Winona, MN 55987-4867",3,MN
"LaCrosse9400 State Road 16 Onalaska, WI 54650-8540",213,WI
"Hastings875 General Sieben Dr Hastings, MN 55033-2485",150,MN
"Inver Grove Heights7841 Amana Trail Inver Grove Heights, MN 55077",127,MN
"West St Paul1750 Robert St S West St Paul, MN 55118-3919",41,MN
"Lubbock West6064 Marsha Sharp Freeway Lubbock, TX 79407-3726",25,TX
"Lubbock7302 University Ave Lubbock, TX 79423-1423",78,TX
"Derby2024 N Rock Rd Derby, KS 67037-3752",121,KS
"Cedar Falls214 Viking Plaza Dr Cedar Falls, IA 50613-6936",69,IA
"Waterloo1501 E San Marnan Dr Waterloo, IA 50702-4300",11,IA
"Ankeny2135 SE Delaware Ave Ankeny, IA 50021-4592",271,IA
"Altoona3414 8th St SW Altoona, IA 50009-1024",217,IA
"South Des Moines1111 E Army Post Rd Ste 2204 Des Moines, IA 50315-5962",156,IA
"Cedar Rapids North1030 Blairs Ferry Rd NE Cedar Rapids, IA 52402-1220",5,IA
"Cedar Rapids South3400 Edgewood Rd SW Cedar Rapids, IA 52404-7214",249,IA
"Iowa City1441 Coral Ridge Ave Coralville, IA 52241-2801",272,IA
"Odessa3909 E 42nd St Odessa, TX 79762-5939",0,TX
"Midland4001 N Midland Dr Midland, TX 79707-3534",6,TX
"Marquette3250 US Hwy 41 W Marquette, MI 49855-9483",149,MI
"Lawton2030 NW 82nd Street Lawton, OK 73505",64,OK
"St Joseph5201 N Belt Hwy Ste H, St. Joseph, MO 64506-1297",121,MO
"Papillion718 N Washington St Papillion, NE 68046-3910",156,NE
"Yukon1700 Garth Brooks Blvd Yukon, OK 73099-6387",77,OK
"Oklahoma City NW8315 N Rockwell Ave Oklahoma City, OK 73132-4220",103,OK
"Quail Springs13924 N Pennsylvania Ave Oklahoma City, OK 73134-6021",187,OK
"Oklahoma City North5400 N May Ave Oklahoma City, OK 73112-5407",117,OK
"Edmond1200 E 2nd St Edmond, OK 73034-5317",36,OK
"Midwest City7305 SE 29th St Midwest City, OK 73110-6122",178,OK
"Moore720 SW 19TH ST Moore, OK 73160-2941",153,OK
"Norman1400 24th Ave NW Norman, OK 73069-6385",82,OK
"Stevens Point5300 US Highway 10 E Stevens Point, WI 54482-8551",202,WI
"Madison West201 Junction Rd Madison, WI 53717-2615",223,WI
"Madison Hilldale750 Hilldale Way Madison, WI 53705-2644",176,WI
"Sun Prairie660 S Grand Ave Sun Prairie, WI 53590-9832",220,WI
"Madison East4301 Lien Rd Madison, WI 53704-3608",174,WI
"Fitchburg6321 McKee Rd Fitchburg, WI 53719-5017",216,WI
"Oshkosh1900 S Koeller St Oshkosh, WI 54902-6153",194,WI
"Fond du Lac485 N Rolling Meadows Dr Fond Du Lac, WI 54937-9784",3,WI
"Appleton4301 W Wisconsin Ave Ste 42, Appleton, WI 54913-8605",41,WI
"Appleton East1800 S Kensington Dr Appleton, WI 54915-4136",21,WI
"Topeka2120 SW Wanamaker Rd Topeka, KS 66614-5231",163,KS
"Lawrence3201 S Iowa St Lawrence, KS 66046-5205",165,KS
"Abilene3710 Ridgemont Dr Abilene, TX 79606-2726",119,TX
"San Angelo4235 Sunset Dr San Angelo, TX 76904-5653",80,TX
"Dubuque3500 Dodge St Dubuque, IA 52003-5261",275,IA
"Davenport5225 Elmore Ave Davenport, IA 52807-3454",257,IA
"SW Moline900 42nd Avenue Dr Moline, IL 61265-6871",184,IL
"Green Bay West1001 Cormier Rd Green Bay, WI 54304-4404",263,WI
"Bellevue2050 Lime Kiln Rd Green Bay, WI 54311-6264",197,WI
"Sturgeon Bay410 S Ashland Ave Sturgeon Bay, WI 54235-3805",71,WI
"Kohler4085 State Highway 28 Sheboygan Falls, WI 53085-2848",162,WI
"Burlington525 S Gear Ave West Burlington, IA 52655-1031",40,IA
"Galesburg1071 W Carl Sandburg Dr Galesburg, IL 61401-1343",221,IL
"Liberty9220 NE Barry Rd Kansas City, MO 64157-1209",214,MO
"Blue Springs1040 NE CORONADO Blue Springs, MO 64014-2971",142,MO
"Independence17810 E 39th St S Independence, MO 64055-3870",160,MO
"Kansas City Chouteau4375 N Chouteau Trfy Kansas City, MO 64117-1743",72,MO
"Kansas City North8420 N Madison Ave Kansas City, MO 64155-2777",144,MO
"Kansas City NW9040 N Skyview Ave Kansas City, MO 64154-8501",185,MO
"Lees Summit1850 NW Chipman Rd Lees Summit, MO 64081-3938",101,MO
"Ward Parkway8509 State Line Rd Kansas City, MO 64114-2723",177,MO
"Mission6100 Broadmoor St Mission, KS 66202-3229",146,KS
"KC Speedway10900 Stadium Pkwy Kansas City, KS 66111-8100",126,KS
"Stateline1201 W 136th St Kansas City, MO 64145-1647",99,MO
"Shawnee15700 Shawnee Mission Pkwy Shawnee, KS 66217-9321",145,KS
"Overland Park West11501 W 97th St Overland Park, KS 66214-2289",113,KS
"Belton1106 E North Ave Belton, MO 64012-5104",170,MO
"Overland Park12200 Blue Valley Pkwy Overland Park, KS 66213-2639",168,KS
"Overland Park South8101 W 151st Overland Park, KS 66223-2113",13,KS
"Olathe15345 W 119th St Olathe, KS 66062-1074",6,KS
"Olathe South20255 W 154th St Olathe, KS 66062-7055",101,KS
"Wichita Falls4317 Kemp Blvd Wichita Falls, TX 76308-3717",94,TX
"Tulsa Hills7437 S Olympia Ave W Tulsa, OK 74132-1838",160,OK
"Tulsa1701 S Yale Ave Tulsa, OK 74112-6221",114,OK
"Owasso9010 N 121st East Ave Owasso, OK 74055-5358",126,OK
"Tulsa South10019 S Memorial Dr Tulsa, OK 74133-6103",154,OK
"Tulsa SE10711 E 71st St Tulsa, OK 74133-2522",163,OK
"Broken Arrow1150 E Hillside Dr Broken Arrow, OK 74012-2385",115,OK
"Joplin3151 E 7th St Joplin, MO 64801-5581",136,MO
"Springfield1825 E Primrose St Springfield, MO 65804-6497",283,MO
"Osage Beach919 Highway D Osage Beach, MO 65065-3169",28,MO
"Columbia2400 Bernadette Dr Columbia, MO 65203-4616",201,MO
"Jefferson City735 W Stadium Blvd Jefferson City, MO 65109-4753",122,MO
"Wentzville1883 Wentzville Pkwy Wentzville, MO 63385-3896",127,MO
"Dardenne Prairie7955 Highway N Dardenne Prairie, MO 63368-7382",122,MO
"Sherman4160 Town Center Rd Sherman, TX 75092-2567",135,TX
"Peoria5001 N Big Hollow Rd Peoria, IL 61615-3538",217,IL
"East Peoria480 W Washington St East Peoria, IL 61611-2445",3,IL
"Peru4370 Venture Dr Peru, IL 61354-1013",169,IL
"Bloomington Normal301 Veterans Pkwy Normal, IL 61761-2115",185,IL
"Traverse City3130 S Airport Rd W Traverse City, MI 49684-8995",205,MI
"Rogers2404 Promenade Blvd Rogers, AR 72758-9080",8,AR
"Fayetteville3545 N Shiloh Dr Fayetteville, AR 72703-5359",137,AR
"Fort Smith4001 Phoenix Ave Fort Smith, AR 72903-6099",49,AR
"Branson1200 Branson Hills Pkwy Branson, MO 65616-9943",75,MO
"Weatherford122 E Interstate 20 Weatherford, TX 76087-8556",88,TX
"Lake Worth6604 Lake Worth Blvd Lake Worth, TX 76135-3000",63,TX
"Ridgmar751 Alta Mere Dr Fort Worth, TX 76116-1526",88,TX
"Cityview5700 Overton Ridge Blvd Fort Worth, TX 76132-3220",159,TX
"Fort Worth Central301 Carroll St Fort Worth, TX 76107-1956",4,TX
"Fort Worth8917 Tehama Ridge Pkwy Fort Worth, TX 76177",113,TX
"Watauga8000 Denton Hwy Watauga, TX 76148-2464",151,TX
"Washington1851 Vernaci Dr Washington, MO 63090-6174",126,MO
"Norton Shores5057 Harvey St Muskegon, MI 49444-9795",154,MI
"Grand Rapids North3248 Alpine Ave NW Walker, MI 49544-1655",211,MI
"Holland3456 W Shore Dr Holland, MI 49424-9699",15,MI
"Grandville3130 44th St SW Grandville, MI 49418",179,MI
"Wyoming5455 Clyde Park Ave SW Wyoming, MI 49509-9722",96,MI
"Grand Rapids East5120 28th St SE Grand Rapids, MI 49512-2049",191,MI
"Grand Rapids South1925 Marketplace Dr SE Caledonia, MI 49316-8511",135,MI
"Grafton1250 N Port Washington Rd Grafton, WI 53024-9315",76,WI
"Mt Pleasant4097 E Blue Grass Rd Mount Pleasant, MI 48858-7997",160,MI
"Milwaukee Chase2950 S Chase Ave Milwaukee, WI 53207-6407",162,WI
"West Milwaukee1501 Miller Park Way West Milwaukee, WI 53214-3654",167,WI
"Greenfield4777 S 27th St Greenfield, WI 53221-2601",128,WI
"Wauwatosa3900 N 124th St Wauwatosa, WI 53222-2105",239,WI
"Oak Creek8989 S Howell Ave Oak Creek, WI 53154-3803",297,WI
"Menomonee FallsN95 W 17707 Shady Ln Menomonee Falls, WI 53051-8012",221,WI
"West Allis2600 S 108th St West Allis, WI 53227-1926",186,WI
"Brookfield12725 W Bluemound Rd Brookfield, WI 53005",2,WI
"Franklin7800 S Lovers Lane Rd Franklin, WI 53132-2290",169,WI
"Harker Heights201 E Central Texas Expy Ste 300, Harker Heights, TX 76548-2747",97,TX
"Georgetown1021 W University Ste B3 Georgetown, TX 78628-5339",1,TX
"Cedar Park1101 C-Bar Ranch Trl Lot #2 Cedar Park, TX 78613",103,TX
"Temple3550 S General Bruce Dr Bldg A100, Temple, TX 76504-5133",107,TX
"Austin NW10900 Lakeline Mall Dr Austin, TX 78717-5924",148,TX
"Four Points11220 FM 2222 Austin, TX 78730-1001",52,TX
"Round Rock121 Louis Henna Blvd Round Rock, TX 78664-7307",89,TX
"Bee Cave3702 Ranch Rd 620 S Bee Cave, TX 78738-6304",13,TX
"Austin Arboretum10107 Research Blvd Austin, TX 78759-5803",147,TX
"Pflugerville18700 Limestone Commercial Dr Ste 100, Pflugerville, TX 78660-6545",153,TX
"Austin North8601 Research Blvd Austin, TX 78758-7121",102,TX
"Waco5401 Bosque Blvd Waco, TX 76710-4442",171,TX
"Austin East5621 N I H 35 Austin, TX 78723-2431",7,TX
"Austin SW5300 S Mo Pac Expy Austin, TX 78749-1112",170,TX
"Austin South2300 W Ben White Blvd Austin, TX 78704-7525",90,TX
"Austin Southpark9500 S IH 35 Ste G, Austin, TX 78748-1753",124,TX
"Kyle5188 Kyle Center Dr Kyle, TX 78640-6137",106,TX
"San Marcos700 Barnes Dr San Marcos, TX 78666-6187",113,TX
"Champaign2102 N Prospect Ave Champaign, IL 61822-1231",200,IL
"Decatur355 W Mound Rd Decatur, IL 62526-1965",218,IL
"Bradley1615 N State Route 50 Bourbonnais, IL 60914-9303",166,IL
"Shorewood1111 Brook Forest Ave Shorewood, IL 60404-8845",167,IL
"New Lenox2370 E Lincoln Hwy New Lenox, IL 60451-9533",196,IL
"Joliet2701 Plainfield Rd Joliet, IL 60435-1166",95,IL
"Romeoville349 S Weber Rd Romeoville, IL 60446-5061",88,IL
"Yorkville1652 N Beecher Rd Yorkville, IL 60560-5602",15,IL
"Matteson4647 Promenade Way Matteson, IL 60443-2981",129,IL
"Plainfield12800 S State Route 59 Plainfield, IL 60585-5414",158,IL
"Tinley Park7300 191st St Tinley Park, IL 60487-9361",245,IL
"Oswego3020 Route 34 Oswego, IL 60543-8333",24,IL
"Lemont13460 S Archer Ave Lemont, IL 60439-4755",137,IL
"Orland Park15850 S 94th Ave Orland Park, IL 60462-4725",215,IL
"St John9885 Wicker Ave Saint John, IN 46373-9413",21,IN
"Bolingbrook1188 W Boughton Rd Bolingbrook, IL 60440-1508",137,IL
"Arnold3849 Vogel Rd Arnold, MO 63010-6201",20,MO
"Fenton197 Gravois Bluffs Plaza Dr Fenton, MO 63026-4013",17,MO
"South County4250 Rusty Rd Saint Louis, MO 63128-1973",168,MO
"Kirkwood1042 S Kirkwood Rd Kirkwood, MO 63122-7200",202,MO
"Ballwin15025 Manchester Rd Ballwin, MO 63011-4626",26,MO
"Town And Country1272 Town And Country Crossing Dr Chesterfield, MO 63017-0605",136,MO
"Hampton Village4255 Hampton Ave Saint Louis, MO 63109-2120",206,MO
"Chesterfield40 THF Blvd Chesterfield, MO 63005-1150",183,MO
"Brentwood25 Brentwood Promenade Ct Brentwood, MO 63144-1428",191,MO
"St Peters6241 Mid Rivers Mall Dr Saint Peters, MO 63304-1102",162,MO
"Belleville5601 Belleville Crossing St Belleville, IL 62226-3104",134,IL
"Bridgeton12275 St Charles Rock Rd Bridgeton, MO 63044-2502",4,MO
"O'Fallon2300 Highway K O Fallon, MO 63368-6661",157,MO
"St Charles3881 Mexico Rd Saint Charles, MO 63303-3042",59,MO
"Fairview Heights4701 N Illinois St Fairview Heights, IL 62208-3416",143,IL
"Florissant2341 N Highway 67 Florissant, MO 63033-2033",201,MO
"Shiloh3400 Green Mountcrossing Dr Shiloh, IL 62269-7277",229,IL
"Midland6820 Eastman Ave Midland, MI 48642-7805",7,MI
"Benton Harbor960 Fairplain Dr Benton Harbor, MI 49022-5794",169,MI
"Mishawaka155 University Dr E Granger, IN 46530-4474",253,IN
"South Bend1400 E Ireland Rd South Bend, IN 46614-3452",77,IN
"Kalamazoo West5350 W Main St Kalamazoo, MI 49009-3304",174,MI
"Goshen3938 Midway Rd Goshen, IN 46526-5854",0,IN
"Kalamazoo6839 S Westnedge Ave Portage, MI 49002-3582",0,MI
"Valparaiso2420 Laporte Ave Valparaiso, IN 46383-6914",209,IN
"Lake County2661 E US Highway 30 Merrillville, IN 46410-5898",183,IN
"Battle Creek5700 Beckley Rd Battle Creek, MI 49015-4184",38,MI
"Chicago Hyde Park IL1346 E 53rd St Chicago, IL 60615-4002",0,IL
"Highland10451 Indianapolis Blvd Highland, IN 46322-3511",180,IN
"Chicago Streeterville401 E Illinois St Chicago, IL 60611-4390",0,IL
"Munster8005 Calumet Ave Munster, IN 46321-1217",195,IN
"Chicago State St.1 S State St Chicago, IL 60603",174,IL
"Chicago South Loop1154 S Clark St Chicago, IL 60605-2159",163,IL
"Chicago South8560 S Cottage Grove Ave Chicago, IL 60619-6116",81,IL
"Chicago Lincoln Park North2650 N. Clark St Chicago, IL 60614-1523",0,IL
"Chicago Division1200 N Larrabee St Chicago, IL 60610",186,IL
"Chicago Wilson Yard4466 N Broadway St Chicago, IL 60640-5660",205,IL
"Conway501 Elsinger Blvd Conway, AR 72032-4717",148,AR
"Little Rock West12700 Chenal Pkwy Little Rock, AR 72211-3360",108,AR
"Bryant7377 Alcoa Rd Bryant, AR 72022-6204",104,AR
"Little Rock Univer420 S University Ave Little Rock, AR 72205-5246",122,AR
"Little Rock North4000 McCain Blvd North Little Rock, AR 72116-8039",114,AR
"Waxahachie1316 N Highway 77 Waxahachie, TX 75165-5116",97,TX
"TARGET.COM MIDLOTHIAN TFC FC STR4333 Power Way Midlothian, TX 76065-8800",0,TX
"Cedar Hill739 N Highway 67 Cedar Hill, TX 75104-2142",0,TX
"Dallas South39739 LBJ Fwy Dallas, TX 75237-3560",58,TX
"Mansfield1801 Highway 287 N Mansfield, TX 76063-7533",75,TX
"Grand Prairie S5270 S State Highway 360 Grand Prairie, TX 75052-8307",91,TX
"Burleson200 NW John Jones Dr Burleson, TX 76028-5615",99,TX
"Grand Prairie554 W Interstate 20 Grand Prairie, TX 75052-6932",86,TX
"Arlington South1600 W Arbrook Blvd Arlington, TX 76015-4107",183,TX
"Cityplace Market2417 N Haskell Ave Dallas, TX 75204-3707",175,TX
"Mesquite1629 N Town East Blvd Mesquite, TX 75150-4105",6,TX
"Eastchase8550 East Fwy Fort Worth, TX 76120-4414",4,TX
"Medallion6464 E NORTHWEST HWY STE 212 Dallas, TX 75214-7802",127,TX
"Dallas NE6419 Skillman St Dallas, TX 75231-7109",112,TX
"Bryan3061 Wildflower Dr Bryan, TX 77802-3060",0,TX
"Irving3333 W Airport Fwy Irving, TX 75062-5921",73,TX
"Love Field9440 Marsh Ln Dallas, TX 75220-4924",101,TX
"Texarkana102 Richmond Ranch Rd Texarkana, TX 75503-1081",208,TX
"Longview3092 N Eastman Rd Ste 100, Longview, TX 75605-5093",134,TX
"Bossier City2735 Beene Blvd Bossier City, LA 71111-5491",136,LA
"Shreveport7110 Youree Dr Shreveport, LA 71105-5107",162,LA
"Tyler7003 S Broadway Ave Tyler, TX 75703-4737",140,TX
"Edwardsville2350 Troy Rd Edwardsville, IL 62025-2584",175,IL
"Springfield3445 Freedom Dr Springfield, IL 62704-6517",243,IL
"Alton300 Homer M Adams Pkwy Alton, IL 62002-5928",151,IL
"Marion3000 W Deyoung St Marion, IL 62959-5553",152,IL
"Evansville North4000 1st Ave Evansville, IN 47710-3614",174,IN
"Evansville6625 E Lloyd Expy Evansville, IN 47715-2757",335,IN
"Jonesboro3000 E Highland Dr Ste A, Jonesboro, AR 72401-6321",97,AR
"Cape Girardeau202 Siemers Dr Cape Girardeau, MO 63701-8419",148,MO
"Laredo7501 San Dario Ave Laredo, TX 78045-7207",116,TX
"Laredo East1910 Bob Bullock Loop Laredo, TX 78043-9733",67,TX
"College Station2100 Texas Ave S College Station, TX 77840-3918",8,TX
"New Braunfels135 Creekside Way New Braunfels, TX 78130-6248",99,TX
"Lafayette3630 South Street Lafayette, IN 47905-4807",318,IN
"Kokomo1037 S Reed Rd Kokomo, IN 46902-1929",151,IN
"Carmel1600 E 151st Street Carmel, IN 46032-5056",188,IN
"Carmel West10401 N Michigan Rd Carmel, IN 46032-7939",0,IN
"Nora Plaza1300 E 86th St Ste 35 Indianapolis, IN 46240-1990",46,IN
"Fishers11750 Commercial Dr Fishers, IN 46038-2903",0,IN
"Indy Glendale6101 N Keystone Ave Ste 200, Indianapolis, IN 46220-2488",176,IN
"Horn Lake7255 Interstate Dr Horn Lake, MS 38637-1410",125,MS
"Memphis Central601 Colonial Rd Memphis, TN 38117-5132",192,TN
"Memphis East5959 Poplar Ave Memphis, TN 38119-3938",12,TN
"Olive Branch West5150 Goodman Rd Olive Branch, MS 38654-7903",144,MS
"Target.com Memphis TFC FC STR5461 Davidson Rd Memphis, TN 38118-7902",0,TN
"Jackson1076 Jackson Xing Jackson, MI 49202-2039",178,MI
"Lansing South500 E Edgewood Blvd Lansing, MI 48911-5901",141,MI
"West Lansing5609 W Saginaw Hwy Lansing, MI 48917-2456",0,MI
"East Lansing4890 Marsh Rd Okemos, MI 48864-1123",143,MI
"Ann Arbor2000 Waters Rd Ann Arbor, MI 48103-8999",4,MI
"Ann Arbor East3749 Carpenter Rd Ypsilanti, MI 48197-9809",175,MI
"Brighton8043 Challis Rd Brighton, MI 48116-7446",14,MI
"Hartland Township10025 E Highland Rd Howell, MI 48843-1879",128,MI
"Canton South47330 Michigan Ave Canton, MI 48188-2310",129,MI
"Toledo NW5225 Monroe St Toledo, OH 43623-3139",401,OH
"Novi27100 Wixom Rd Novi, MI 48374-1115",186,MI
"Canton43670 Ford Rd Canton, MI 48187-3101",10,MI
"Toledo W1465 E Mall Dr Holland, OH 43528-9490",50,OH
"Fenton3255 Owen Rd Fenton, MI 48430-1755",157,MI
"Toledo NE817 W Alexis Rd Toledo, OH 43612-4303",234,OH
"West Livonia20100 Haggerty Rd Livonia, MI 48152-1087",13,MI
"Westland35401 Warren Rd Westland, MI 48185-6590",157,MI
"Lufkin4200 S Medford Dr Lufkin, TX 75901-5644",163,TX
"Huntsville259 Interstate 45 S Huntsville, TX 77340-4903",127,TX
"Victoria7608 NE Zac Lentz Pkwy Victoria, TX 77904-1390",60,TX
"San Antonio SE3227 SE Military Dr San Antonio, TX 78223-3876",113,TX
"SW Military Drive2810 SW Military Dr San Antonio, TX 78224-1032",112,TX
"Corpus Christi5425 S Padre Island Dr Ste 125, Corpus Christi, TX 78411-5301",255,TX
"San Antonio Far E7014 FM 78 San Antonio, TX 78244-1758",59,TX
"Alamo Heights1223 Austin Hwy San Antonio, TX 78209",114,TX
"San Antonio NE8234 Agora Pkwy Selma, TX 78154-1304",120,TX
"Park North746 NW Loop 410 San Antonio, TX 78216-5609",84,TX
"Balcones Heights Crossroads4522 Fredricksburg Rd Balcones Heights, TX 78201-6521",164,TX
"San Antonio Westover8223 State Highway 151 San Antonio, TX 78245-2104",90,TX
"Bitters13700 San Pedro Ave San Antonio, TX 78232-4332",87,TX
"San Antonio North18255 Blanco Rd San Antonio, TX 78258-4585",119,TX
"Stone Oak22832 US Highway 281 N San Antonio, TX 78258-7430",152,TX
"San Antonio Culebra5355 W Loop 1604 N San Antonio, TX 78253-5300",107,TX
"San Antonio West11311 Bandera Rd San Antonio, TX 78250-6812",132,TX
"La Cantera17502 La Cantera Pkwy San Antonio, TX 78257-8202",118,TX
"Monroe4103 Pecanland Mall Dr Monroe, LA 71203-7009",136,LA
"Bloomington2966 E 3rd St Bloomington, IN 47401-5424",7,IN
"Columbus1865 N National Rd Columbus, IN 47201-5194",219,IN
"Greenwood South895 S State Rd 135 Greenwood, IN 46143-9413",1,IN
"Plainfield2673 E Main St Plainfield, IN 46168-2710",155,IN
"Avon10209 E US Highway 36 Avon, IN 46123-7985",0,IN
"Southport4850 E Southport Rd Indianapolis, IN 46237-3321",492,IN
"Eagle Creek6925 W 38th St Indianapolis, IN 46254-3905",116,IN
"Washington Square10202 E Washington St Indianapolis, IN 46229-2670",40,IN
"New Albany2209 State St New Albany, IN 47150-4924",172,IN
"Waterford Park1125 Veterans Pkwy Clarksville, IN 47129-2664",54,IN
"St Matthews4174 Westport Rd Louisville, KY 40207-2735",266,KY
"Springhurst4101 Towne Center Dr Louisville, KY 40241-4146",196,KY
"Bashford Manor3600 Mall Rd Louisville, KY 40218-5403",168,KY
"Jeffersontown4640 Taylorsville Rd Louisville, KY 40220-3530",284,KY
"Louisville Jefferson Pavilion7311 Jefferson Blvd Louisville, KY 40219-6178",199,KY
"Mission2427 E Expressway 83 Mission, TX 78572-8354",87,TX
"McAllen Northwest3600 Nolana Ave McAllen, TX 78504-4594",108,TX
"McAllen North7400 N 10th St Mcallen, TX 78504-7700",114,TX
"McAllen708 E Expressway 83 McAllen, TX 78503-1609",54,TX
"Harlingen1002 Dixieland Rd Harlingen, TX 78552-5913",7,TX
"Alexandria2206 Memorial Dr Alexandria, LA 71301-3611",109,LA
"Memphis NE7989 US Highway 64 Memphis, TN 38133-4007",201,TN
"Cordova475 N Germantown Pkwy Cordova, TN 38018-6209",136,TN
"Germantown9235 Poplar Ave Germantown, TN 38138-7903",68,TN
"Collierville325 New Byhalia Rd Collierville, TN 38017-3705",101,TN
"Jackson93 Stonebrook Pl Jackson, TN 38305-3637",137,TN
"Lake Jackson202 Highway 332 W Lake Jackson, TX 77566-4013",128,TX
"Rosenberg23912 Commercial Dr Rosenberg, TX 77471-6204",121,TX
"Sugar Land16300 Southwest Fwy Sugar Land, TX 77479-2371",89,TX
"Missouri City6000 Highway 6 Missouri City, TX 77459-4163",114,TX
"Katy West23710 Westheimer Pkwy Katy, TX 77494-3605",48,TX
"Pearland3045 Silverlake Village St Pearland, TX 77584-8080",149,TX
"Houston Far West2700 Eldridge Pkwy Houston, TX 77082-6870",83,TX
"Katy19955 Katy Fwy Houston, TX 77094-1019",141,TX
"Westchase10801 Westheimer Rd Houston, TX 77042-3201",75,TX
"Houston Meyerland300 Meyerland Plaza Mall Houston, TX 77096-1611",135,TX
"Westheimer8605 Westheimer Rd Houston, TX 77063-4201",56,TX
"Houston South Central8500 Main St Houston, TX 77025-2703",209,TX
"Houston Memorial984 Gessner Rd Houston, TX 77024-2505",114,TX
"Galleria4323 San Felipe St Houston, TX 77027-3406",151,TX
"Houston South8503 S Sam Houston Pkwy E Houston, TX 77075-4857",42,TX
"Copperfield6955 Highway 6 N Houston, TX 77084-1313",141,TX
"Baybrook1801 W Bay Area Blvd Webster, TX 77598-3403",169,TX
"Houston Central2580 Shearn St Houston, TX 77007",182,TX
"Houston NW13250 Northwest Fwy Houston, TX 77040-6003",49,TX
"Owensboro5151 Frederica St Owensboro, KY 42301-7443",182,KY
"Bowling Green160 American Ave Bowling Green, KY 42104-6378",189,KY
"Clarksville2823 Wilma Rudolph Blvd Clarksville, TN 37040-5002",137,TN
"Elizabethtown1631 Ring Rd Elizabethtown, KY 42701-5470",173,KY
"Hendersonville1004 Andrews Run Hendersonville, TN 37075-1232",232,TN
"Rivergate2050 Gallatin Rd N Madison, TN 37115-2002",185,TN
"Lake Charles1720 W Prien Lake Rd Lake Charles, LA 70601-8361",150,LA
"Beaumont5850 Eastex Fwy Beaumont, TX 77708-4824",104,TX
